name,specifier,url,extras,marker
colorama,>=0.4.3,,[],
decorator,>=5.1.1,,[],
dunamai,>=1.7.0,,[],
funcy,>=1.17,,[],
jinja2,>=3.1.1,,[],
jinja2-ansible-filters,>=1.3.1,,[],
packaging,>=23.0,,[],
pathspec,>=0.9.0,,[],
plumbum,>=1.6.9,,[],
pydantic,>=2.0.3,,[],
pygments,>=2.7.1,,[],
pyyaml,>=5.3.1,,[],
pyyaml-include,>=1.2,,[],
questionary,>=1.8.1,,[],
typing-extensions,"<5.0.0,>=3.7.4",,[],"python_version < ""3.9"""
