name,specifier,url,extras,marker
dataclasses,"<0.8,>=0.7",,[],"python_version == ""3.6"""
libcst,>=0.3.10,,[],"python_version >= ""3.7"""
libcst,"<0.4.0,>=0.3.10",,[],"python_version < ""3.7"""
pathspec,>=0.9.0,,[],
pyyaml,>=5.3.1,,[],
tomlkit,>=0.11.1,,[],
typer,>=0.4.1,,[],
