name,specifier,url,extras,marker
ansiwrap,"<0.9.0,>=0.8.4",,[],
colorama,>=0.4,,[],
cryptography,>=3.0,,[],
keyring,>=21.0,,[],
parsedatetime,>=2.6,,[],
python-dateutil,"<3.0,>=2.8",,[],
pyxdg,>=0.27.0,,[],
rich,"<14.0.0,>=12.2.0",,[],
ruamel.yaml,>=0.17.22,,[],
tzlocal,>=4.0,,[],
