name,specifier,url,extras,marker
platformdirs,>=2.2.0,,[],
astroid,"<=2.17.0-dev0,>=2.15.6",,[],
isort,"<6,>=4.2.5",,[],
mccabe,"<0.8,>=0.6",,[],
tomlkit,>=0.10.1,,[],
typing-extensions,>=3.10.0,,[],"python_version < ""3.10"""
dill,>=0.2,,[],"python_version < ""3.11"""
tomli,>=1.1.0,,[],"python_version < ""3.11"""
dill,>=0.3.6,,[],"python_version >= ""3.11"""
colorama,>=0.4.5,,[],"sys_platform == ""win32"""
pyenchant,~=3.2,,[],"extra == ""spelling"""
gitpython,>3,,[],"extra == ""testutils"""
